LASTNAME,FIRSTNAME,TITLE,TIME,ONLINE
Hernandez,Alicia,The Psychology of Academic Delay,15,1
Nguyen,Thomas,Tools vs. Distractions: Managing Digital Procrastination,15,1
Patel,Rina,Why We Wait: The Science of Postponing Research Tasks,15,0
O'Connor,Liam,From Perfectionism to Paralysis: Breaking the Cycle,15,1
Sato,Keiko,The Role of Impostor Syndrome in Research Procrastination,15,0
Rodriguez,Carlos,Data Deadlines and Decision Fatigue,15,1
Ivanova,Elena,Overcoming the “Just One More Source” Trap,15,0
Johnson,David,Collaborative Accountability: How Teams Beat Delay,15,1
Kim,Min-Jae,Procrastination Across Cultures: A Global View,15,1
Singh,Anika,Turning Delay into Discovery: Productive Procrastination,15,0
Garcia,Marco,Time Management Tools for the Modern Researcher,15,1
Miller,Jane,From Procrastination to Publication: A Researcher’s Journey,15,0
